Voltage,Temperature,Frequency(v(out)
7.7,42,1164829.991
7.7,43,1173834.629
7.7,44,1183170.629
7.7,45,1193586.228
7.7,46,1204139.983
7.7,47,1214546.667
7.7,48,1226858.75
7.7,49,1237897.352
7.7,50,1250594.844
7.7,51,1262480.531
7.7,52,1274985.112
7.7,53,1288593.131
7.7,54,1302483.847
7.7,55,1316853.445
7.7,56,1331441.282
7.7,57,1346067.83
7.7,58,1362610.421
7.7,59,1378346.564
7.7,60,1394606.944
7.8,20,1002078.864
7.8,21,1007783.652
7.8,22,1013307.389
7.8,23,1019500.276
7.8,24,1025786.579
7.8,25,1031252.239
7.8,26,1038165.839
7.8,27,1044885.292
7.8,28,1051453.548
7.8,29,1058550.006
7.8,30,1065401.504
7.8,31,1072811.663
7.8,32,1080729.649
7.8,33,1087779.247
7.8,34,1095057.988
7.8,35,1103228.923
7.8,36,1111242.061
7.8,37,1119383.57
7.8,38,1127392.208
7.8,39,1136591.319
7.8,40,1145745.92
7.8,41,1154625.862
7.8,42,1164356.361
7.8,43,1174304.871
7.8,44,1183347.821
7.8,45,1193332.66
7.8,46,1203520.191
7.8,47,1214266.412
7.8,48,1226490.275
7.8,49,1238216.893
7.8,50,1250703.111
7.8,51,1262415.308
